"From","To","Count"
"f3e.evaluate","fec.publish_result","10"
"fec.capability_view","f3e.evaluate","10"
"fec.publish_result","engine.evaluate_cell_via_f3e","10"
"engine.evaluate_cell_via_f3e","engine.recalculate_incremental","7"
"engine.recalculate_incremental","fec.capability_view","7"
"engine.recalculate_incremental","engine.recalculate_incremental","6"
"engine.evaluate_cell_via_f3e","engine.recalculate_full","2"
"engine.recalculate_full","engine.set_formula","2"
"f3e.compile","f3e.declare_dependencies","2"
"f3e.declare_dependencies","fec.register_dependencies","2"
"fec.register_dependencies","fec.capability_view","2"
"engine.evaluate_cell_via_f3e","fec.capability_view","1"
"engine.recalculate_full","engine.recalculate_incremental","1"
"engine.recalculate_incremental","f3e.compile","1"
"engine.set_formula","engine.recalculate_incremental","1"
"engine.set_formula","f3e.compile","1"
