"From","To","Count"
"f3e.evaluate","fec.publish_result","7"
"fec.capability_view","f3e.evaluate","7"
"fec.publish_result","engine.evaluate_cell_via_f3e","7"
"engine.evaluate_cell_via_f3e","engine.recalculate_full","4"
"engine.recalculate_full","engine.set_formula","4"
"f3e.compile","f3e.declare_dependencies","4"
"f3e.declare_dependencies","fec.register_dependencies","4"
"fec.register_dependencies","fec.capability_view","4"
"engine.evaluate_cell_via_f3e","fec.capability_view","3"
"engine.set_formula","f3e.compile","3"
