"from","to","count"
"engine.evaluate_cell_via_f3e","engine.recalculate_full","2"
"engine.evaluate_cell_via_f3e","engine.recalculate_incremental","6"
"engine.evaluate_cell_via_f3e","fec.open_session","1"
"engine.recalculate_full","engine.recalculate_incremental","1"
"engine.recalculate_full","engine.set_formula","2"
"engine.recalculate_incremental","engine.recalculate_incremental","4"
"engine.recalculate_incremental","f3e.prepare","1"
"engine.recalculate_incremental","fec.open_session","5"
"engine.set_formula","f3e.prepare","1"
"engine.set_formula","fec.open_session","1"
"f3e.execute","fec.commit","9"
"f3e.prepare","fec.install_plan","2"
"fec.capability_view","f3e.execute","9"
"fec.commit","engine.evaluate_cell_via_f3e","9"
"fec.install_plan","fec.open_session","2"
"fec.open_session","fec.capability_view","9"
