"from","to","count"
"engine.evaluate_cell_via_f3e","engine.evaluate_cell_via_f3e","9"
"engine.evaluate_cell_via_f3e","engine.evaluate_name_via_f3e","2"
"engine.evaluate_cell_via_f3e","engine.recalculate_full","8"
"engine.evaluate_cell_via_f3e","engine.recalculate_incremental","6"
"engine.evaluate_cell_via_f3e","engine.set_formula","4"
"engine.evaluate_cell_via_f3e","f3e.execute","8"
"engine.evaluate_cell_via_f3e","f3e.prepare","3"
"engine.evaluate_cell_via_f3e","fec.capability_view","7"
"engine.evaluate_cell_via_f3e","fec.commit","9"
"engine.evaluate_cell_via_f3e","fec.install_plan","6"
"engine.evaluate_cell_via_f3e","fec.open_session","15"
"engine.evaluate_name_via_f3e","engine.evaluate_cell_via_f3e","2"
"engine.evaluate_name_via_f3e","engine.recalculate_full","1"
"engine.evaluate_name_via_f3e","engine.recalculate_incremental","1"
"engine.evaluate_name_via_f3e","fec.capability_view","1"
"engine.evaluate_name_via_f3e","fec.open_session","1"
"engine.incremental_spill_fallback","fec.commit","1"
"engine.recalculate_full","engine.evaluate_cell_via_f3e","2"
"engine.recalculate_full","engine.evaluate_name_via_f3e","1"
"engine.recalculate_full","engine.recalculate_full","11"
"engine.recalculate_full","engine.recalculate_incremental","2"
"engine.recalculate_full","engine.set_formula","1"
"engine.recalculate_full","f3e.execute","3"
"engine.recalculate_full","f3e.prepare","4"
"engine.recalculate_full","fec.capability_view","7"
"engine.recalculate_full","fec.commit","6"
"engine.recalculate_full","fec.install_plan","1"
"engine.recalculate_full","fec.open_session","12"
"engine.recalculate_incremental","engine.evaluate_cell_via_f3e","2"
"engine.recalculate_incremental","engine.recalculate_full","2"
"engine.recalculate_incremental","engine.recalculate_incremental","2"
"engine.recalculate_incremental","engine.set_formula","4"
"engine.recalculate_incremental","f3e.execute","3"
"engine.recalculate_incremental","fec.capability_view","5"
"engine.recalculate_incremental","fec.commit","5"
"engine.recalculate_incremental","fec.install_plan","1"
"engine.recalculate_incremental","fec.open_session","5"
"engine.set_formula","engine.evaluate_cell_via_f3e","6"
"engine.set_formula","engine.recalculate_full","1"
"engine.set_formula","engine.set_formula","1"
"engine.set_formula","f3e.execute","9"
"engine.set_formula","f3e.prepare","1"
"engine.set_formula","fec.capability_view","4"
"engine.set_formula","fec.commit","2"
"engine.set_formula","fec.install_plan","4"
"engine.set_formula","fec.open_session","6"
"engine.set_name_formula","engine.recalculate_full","1"
"engine.set_name_formula","fec.open_session","1"
"f3e.execute","engine.evaluate_cell_via_f3e","11"
"f3e.execute","engine.incremental_spill_fallback","1"
"f3e.execute","engine.recalculate_full","4"
"f3e.execute","engine.recalculate_incremental","5"
"f3e.execute","engine.set_formula","4"
"f3e.execute","f3e.execute","9"
"f3e.execute","f3e.prepare","4"
"f3e.execute","fec.capability_view","8"
"f3e.execute","fec.commit","23"
"f3e.execute","fec.install_plan","5"
"f3e.execute","fec.open_session","9"
"f3e.prepare","engine.evaluate_cell_via_f3e","5"
"f3e.prepare","engine.recalculate_incremental","3"
"f3e.prepare","engine.set_formula","2"
"f3e.prepare","f3e.execute","4"
"f3e.prepare","f3e.prepare","1"
"f3e.prepare","fec.capability_view","4"
"f3e.prepare","fec.commit","6"
"f3e.prepare","fec.install_plan","10"
"f3e.prepare","fec.open_session","1"
"fec.capability_view","engine.evaluate_cell_via_f3e","9"
"fec.capability_view","engine.recalculate_full","2"
"fec.capability_view","engine.recalculate_incremental","4"
"fec.capability_view","engine.set_formula","5"
"fec.capability_view","f3e.execute","27"
"fec.capability_view","f3e.prepare","8"
"fec.capability_view","fec.capability_view","9"
"fec.capability_view","fec.commit","8"
"fec.capability_view","fec.install_plan","1"
"fec.capability_view","fec.open_session","10"
"fec.commit","engine.evaluate_cell_via_f3e","23"
"fec.commit","engine.evaluate_name_via_f3e","1"
"fec.commit","engine.recalculate_full","8"
"fec.commit","engine.recalculate_incremental","2"
"fec.commit","engine.set_formula","3"
"fec.commit","f3e.execute","9"
"fec.commit","f3e.prepare","5"
"fec.commit","fec.capability_view","11"
"fec.commit","fec.commit","11"
"fec.commit","fec.install_plan","5"
"fec.commit","fec.open_session","5"
"fec.install_plan","engine.evaluate_cell_via_f3e","2"
"fec.install_plan","engine.evaluate_name_via_f3e","1"
"fec.install_plan","engine.recalculate_full","7"
"fec.install_plan","engine.set_formula","5"
"fec.install_plan","engine.set_name_formula","1"
"fec.install_plan","f3e.execute","3"
"fec.install_plan","f3e.prepare","5"
"fec.install_plan","fec.capability_view","2"
"fec.install_plan","fec.commit","6"
"fec.install_plan","fec.install_plan","1"
"fec.install_plan","fec.open_session","4"
"fec.open_session","engine.evaluate_cell_via_f3e","6"
"fec.open_session","engine.evaluate_name_via_f3e","1"
"fec.open_session","engine.recalculate_full","5"
"fec.open_session","engine.recalculate_incremental","5"
"fec.open_session","engine.set_formula","5"
"fec.open_session","engine.set_name_formula","1"
"fec.open_session","f3e.execute","8"
"fec.open_session","f3e.prepare","4"
"fec.open_session","fec.capability_view","25"
"fec.open_session","fec.commit","6"
"fec.open_session","fec.install_plan","3"
"fec.open_session","fec.open_session","14"
